-183.459, 79.165, 0.995,  1.765
-183.446, 79.134, 0.998,  1.798
-183.432, 79.102, 1.006,  1.831
-183.418, 79.071, 1.009,  1.864
-183.404, 79.040, 1.017,  1.897
-183.391, 79.007, 1.039,  1.930
-183.378, 78.974, 1.049,  1.963
-183.366, 78.941, 1.055,  1.996
-183.353, 78.908, 1.060,  2.029
-183.340, 78.875, 1.065,  2.062
-183.327, 78.841, 1.068,  2.095
-183.314, 78.808, 1.072,  2.128
-183.301, 78.774, 1.075,  2.161
-183.287, 78.741, 1.078,  2.194
-183.273, 78.707, 1.081,  2.227
-183.259, 78.674, 1.084,  2.260
-183.245, 78.640, 1.087,  2.293
-183.231, 78.606, 1.089,  2.326
-183.217, 78.573, 1.092,  2.359
-183.202, 78.539, 1.095,  2.392
-183.188, 78.505, 1.098,  2.425
-183.173, 78.471, 1.101,  2.458
-183.158, 78.437, 1.104,  2.491
-183.142, 78.404, 1.107,  2.524
-183.127, 78.370, 1.110,  2.557
-183.111, 78.336, 1.113,  2.590
-183.095, 78.302, 1.117,  2.623
-183.079, 78.268, 1.120,  2.656
-183.063, 78.234, 1.124,  2.689
-183.047, 78.200, 1.127,  2.722
-183.030, 78.165, 1.131,  2.755
-183.013, 78.131, 1.135,  2.788
-182.996, 78.097, 1.138,  2.821
-182.979, 78.063, 1.143,  2.854
-182.962, 78.028, 1.148,  2.887
-182.946, 77.993, 1.161,  2.920
-182.930, 77.957, 1.166,  2.953
-182.915, 77.921, 1.171,  2.986
-182.900, 77.885, 1.175,  3.019
-182.884, 77.849, 1.178,  3.052
-182.869, 77.813, 1.182,  3.085
-182.853, 77.777, 1.186,  3.118
-182.837, 77.740, 1.189,  3.151
-182.821, 77.704, 1.193,  3.184
-182.805, 77.667, 1.196,  3.217
-182.789, 77.631, 1.200,  3.250
-182.773, 77.594, 1.204,  3.283
-182.757, 77.557, 1.207,  3.316
-182.740, 77.520, 1.211,  3.349
-182.724, 77.483, 1.215,  3.382
-182.707, 77.446, 1.219,  3.415
-182.690, 77.409, 1.222,  3.448
-182.673, 77.372, 1.226,  3.481
-182.656, 77.335, 1.230,  3.514
-182.639, 77.297, 1.234,  3.547
-182.621, 77.260, 1.238,  3.580
-182.604, 77.222, 1.242,  3.613
-182.586, 77.185, 1.247,  3.646
-182.568, 77.147, 1.251,  3.679
-182.550, 77.109, 1.255,  3.712
-182.532, 77.071, 1.260,  3.745
-182.515, 77.033, 1.264,  3.778
-182.497, 76.995, 1.269,  3.811
-182.480, 76.956, 1.274,  3.844
-182.464, 76.916, 1.278,  3.877
-182.448, 76.876, 1.283,  3.910
-182.432, 76.837, 1.287,  3.943
-182.416, 76.797, 1.291,  3.976
-182.400, 76.757, 1.296,  4.009
-182.384, 76.716, 1.300,  4.042
-182.368, 76.676, 1.304,  4.075
-182.352, 76.636, 1.309,  4.108
-182.336, 76.595, 1.313,  4.141
-182.320, 76.554, 1.318,  4.174
-182.303, 76.513, 1.322,  4.207
-182.287, 76.472, 1.327,  4.240
-182.271, 76.431, 1.331,  4.273
-182.254, 76.390, 1.336,  4.306
-182.238, 76.348, 1.340,  4.339
-182.221, 76.306, 1.345,  4.372
-182.205, 76.265, 1.349,  4.405
-182.188, 76.223, 1.354,  4.438
-182.172, 76.181, 1.359,  4.471
-182.155, 76.138, 1.363,  4.504
-182.138, 76.096, 1.368,  4.537
-182.122, 76.053, 1.372,  4.570
-182.105, 76.010, 1.377,  4.603
